model,fold,train_rows,validation_rows,train_students,validation_students,student_overlap_count,train_target_count,validation_target_count,train_target_rate,validation_target_rate,recall_at_top_20pct,pr_auc,brier_score,ece_10bin,precision_at_top_20pct,best_epoch,positive_weight
GRU,1,596670,298335,17364,8681,0,4453,2219,0.007463086798397774,0.007437947274037575,0.4925642181162686,0.027862764202845364,0.21210237232846524,0.4240727462195275,0.01831833341713175,11,132.99281383337078
GRU,2,596670,298335,17363,8682,0,4440,2232,0.007441299210618935,0.007481522449595253,0.5013440860215054,0.026941442699226267,0.20901255139995845,0.4186728112787297,0.01875408517270853,11,133.38513513513513
GRU,3,596670,298335,17363,8682,0,4451,2221,0.007459734861816414,0.007444651147200295,0.4921206663665016,0.026332150079495464,0.21105676323963196,0.42166084153008127,0.01831833341713175,12,133.05302179285553
