model,rows,target_count,target_rate,pr_auc,recall_at_top_20pct,precision_at_top_20pct,brier_score,ece_10bin,catboost_weight,gru_weight
rank_blend_catboost_0.0,895005,6672,0.007454706956944375,0.02714481537554029,0.49535371702637887,0.01846358400232401,0.3299969382073611,0.49254585169915255,0.0,1.0
rank_blend_catboost_0.1,895005,6672,0.007454706956944375,0.050355111507845565,0.5260791366906474,0.019608829000955303,0.32313431443346224,0.49254585169915255,0.1,0.9
rank_blend_catboost_0.2,895005,6672,0.007454706956944375,0.056938078853954244,0.5614508393285371,0.020927257389623522,0.3177577634638159,0.49254585169915255,0.2,0.8
rank_blend_catboost_0.3,895005,6672,0.007454706956944375,0.061592511015232033,0.5977218225419664,0.02227920514410534,0.31386728529842195,0.4925458516991525,0.30000000000000004,0.7
rank_blend_catboost_0.4,895005,6672,0.007454706956944375,0.06532872251160568,0.6270983213429256,0.023374171094016235,0.31146287993728033,0.4925458516991526,0.4,0.6
rank_blend_catboost_0.5,895005,6672,0.007454706956944375,0.06903954334549899,0.6474820143884892,0.02413394338579114,0.3105445473803913,0.49254585169915255,0.5,0.5
rank_blend_catboost_0.6,895005,6672,0.007454706956944375,0.07307466226238177,0.6671163069544365,0.02486578287272138,0.31111228762775467,0.4925458516991525,0.6000000000000001,0.3999999999999999
rank_blend_catboost_0.7,895005,6672,0.007454706956944375,0.07768106034516767,0.6843525179856115,0.02550823738414869,0.3131661006793705,0.49254585169915255,0.7000000000000001,0.29999999999999993
rank_blend_catboost_0.8,895005,6672,0.007454706956944375,0.0832147220770808,0.6997901678657075,0.026083653163948804,0.3167059865352388,0.4925458516991525,0.8,0.19999999999999996
rank_blend_catboost_0.9,895005,6672,0.007454706956944375,0.08972992283340225,0.7087829736211031,0.026418846822084792,0.32173194519535947,0.49254585169915255,0.9,0.09999999999999998
rank_blend_catboost_1.0,895005,6672,0.007454706956944375,0.0947753708188337,0.7113309352517986,0.026513818358556655,0.32824397665973265,0.49254585169915255,1.0,0.0
