model,threshold,accuracy,precision,recall,specificity,f1_score,roc_auc,pr_auc,TP,FP,TN,FN,predicted_positive_count,predicted_positive_ratio,youden_j
ElasticNet,0.23,0.9924927793699476,0.0392156862745098,0.00029976019184652276,0.9999448405046306,0.0005949724825226833,0.8077306483244295,0.03458897835211187,2,49,888284,6670,51,5.698292188311797e-05,0.00024460069647713745
ElasticNet,0.235,0.992496131306529,0.021739130434782608,0.00014988009592326138,0.999949343320579,0.00029770765108663293,0.8077306483244295,0.03458897835211187,1,45,888288,6671,46,5.139636091418484e-05,9.922341650225874e-05
ElasticNet,0.24,0.992496131306529,0.021739130434782608,0.00014988009592326138,0.999949343320579,0.00029770765108663293,0.8077306483244295,0.03458897835211187,1,45,888288,6671,46,5.139636091418484e-05,9.922341650225874e-05
ElasticNet,0.245,0.9925028351796917,0.025,0.00014988009592326138,0.9999560975445019,0.0002979737783075089,0.8077306483244295,0.03458897835211187,1,39,888294,6671,40,4.4692487751465077e-05,0.00010597764042508118
ElasticNet,0.25,0.9925039524918855,0.02564102564102564,0.00014988009592326138,0.999957223248489,0.0002980181791089256,0.8077306483244295,0.03458897835211187,1,38,888295,6671,39,4.357517555767845e-05,0.00010710334441221825
ElasticNet,0.255,0.9925106563650482,0.030303030303030304,0.00014988009592326138,0.9999639774724118,0.0002982848620432513,0.8077306483244295,0.03458897835211187,1,32,888301,6671,33,3.687130239495869e-05,0.00011385756833504068
ElasticNet,0.26,0.9925151256138234,0.034482758620689655,0.00014988009592326138,0.9999684802883604,0.00029846291598268916,0.8077306483244295,0.03458897835211187,1,28,888305,6671,29,3.240205361981218e-05,0.00011836038428358897
ElasticNet,0.265,0.9925195948625986,0.04,0.00014988009592326138,0.9999729831043088,0.00029864118261908315,0.8077306483244295,0.03458897835211187,1,24,888309,6671,25,2.7932804844665672e-05,0.00012286320023213726
ElasticNet,0.27,0.9925195948625986,0.04,0.00014988009592326138,0.9999729831043088,0.00029864118261908315,0.8077306483244295,0.03458897835211187,1,24,888309,6671,25,2.7932804844665672e-05,0.00012286320023213726
ElasticNet,0.275,0.9925218294869861,0.043478260869565216,0.00014988009592326138,0.9999752345122831,0.0002987303958177745,0.8077306483244295,0.03458897835211187,1,22,888311,6671,23,2.569818045709242e-05,0.0001251146082064114
ElasticNet,0.28,0.9925251814235675,0.05,0.00014988009592326138,0.9999786116242445,0.00029886431560071725,0.8077306483244295,0.03458897835211187,1,19,888314,6671,20,2.2346243875732538e-05,0.00012849172016782262
ElasticNet,0.285,0.9925251814235675,0.05,0.00014988009592326138,0.9999786116242445,0.00029886431560071725,0.8077306483244295,0.03458897835211187,1,19,888314,6671,20,2.2346243875732538e-05,0.00012849172016782262
ElasticNet,0.29,0.992527416047955,0.05555555555555555,0.00014988009592326138,0.9999808630322188,0.00029895366218236175,0.8077306483244295,0.03458897835211187,1,17,888316,6671,18,2.0111619488159285e-05,0.00013074312814209677
ElasticNet,0.295,0.992527416047955,0.05555555555555555,0.00014988009592326138,0.9999808630322188,0.00029895366218236175,0.8077306483244295,0.03458897835211187,1,17,888316,6671,18,2.0111619488159285e-05,0.00013074312814209677
ElasticNet,0.3,0.9925296506723427,0.0625,0.00014988009592326138,0.999983114440193,0.0002990430622009569,0.8077306483244295,0.03458897835211187,1,15,888318,6671,16,1.787699510058603e-05,0.0001329945361163709
ElasticNet,0.305,0.9925296506723427,0.0625,0.00014988009592326138,0.999983114440193,0.0002990430622009569,0.8077306483244295,0.03458897835211187,1,15,888318,6671,16,1.787699510058603e-05,0.0001329945361163709
ElasticNet,0.31,0.9925296506723427,0.0625,0.00014988009592326138,0.999983114440193,0.0002990430622009569,0.8077306483244295,0.03458897835211187,1,15,888318,6671,16,1.787699510058603e-05,0.0001329945361163709
ElasticNet,0.315,0.9925296506723427,0.0625,0.00014988009592326138,0.999983114440193,0.0002990430622009569,0.8077306483244295,0.03458897835211187,1,15,888318,6671,16,1.787699510058603e-05,0.0001329945361163709
ElasticNet,0.32,0.9925307679845364,0.06666666666666667,0.00014988009592326138,0.9999842401441802,0.0002990877822640945,0.8077306483244295,0.03458897835211187,1,14,888319,6671,15,1.6759682906799405e-05,0.00013412024010350798
ElasticNet,0.325,0.9925307679845364,0.06666666666666667,0.00014988009592326138,0.9999842401441802,0.0002990877822640945,0.8077306483244295,0.03458897835211187,1,14,888319,6671,15,1.6759682906799405e-05,0.00013412024010350798
ElasticNet,0.33,0.9925318852967302,0.07142857142857142,0.00014988009592326138,0.9999853658481673,0.0002991325157044571,0.8077306483244295,0.03458897835211187,1,13,888320,6671,14,1.5642370713012778e-05,0.00013524594409064505
ElasticNet,0.335,0.9925341199211177,0.08333333333333333,0.00014988009592326138,0.9999876172561416,0.0002992220227408737,0.8077306483244295,0.03458897835211187,1,11,888322,6671,12,1.3407746325439523e-05,0.0001374973520649192
ElasticNet,0.34,0.9925341199211177,0.08333333333333333,0.00014988009592326138,0.9999876172561416,0.0002992220227408737,0.8077306483244295,0.03458897835211187,1,11,888322,6671,12,1.3407746325439523e-05,0.0001374973520649192
ElasticNet,0.345,0.9925341199211177,0.08333333333333333,0.00014988009592326138,0.9999876172561416,0.0002992220227408737,0.8077306483244295,0.03458897835211187,1,11,888322,6671,12,1.3407746325439523e-05,0.0001374973520649192
ElasticNet,0.35,0.9925352372333115,0.09090909090909091,0.00014988009592326138,0.9999887429601287,0.0002992667963489451,0.8077306483244295,0.03458897835211187,1,10,888323,6671,11,1.2290434131652896e-05,0.00013862305605205627
ElasticNet,0.355,0.9925352372333115,0.09090909090909091,0.00014988009592326138,0.9999887429601287,0.0002992667963489451,0.8077306483244295,0.03458897835211187,1,10,888323,6671,11,1.2290434131652896e-05,0.00013862305605205627
ElasticNet,0.36,0.9925385891698929,0.125,0.00014988009592326138,0.99999212007209,0.0002994011976047904,0.8077306483244295,0.03458897835211187,1,7,888326,6671,8,8.938497550293016e-06,0.00014200016801324544
ElasticNet,0.365,0.9925385891698929,0.125,0.00014988009592326138,0.99999212007209,0.0002994011976047904,0.8077306483244295,0.03458897835211187,1,7,888326,6671,8,8.938497550293016e-06,0.00014200016801324544
ElasticNet,0.37,0.9925385891698929,0.0,0.0,0.9999932457760772,0.0,0.8077306483244295,0.03458897835211187,0,6,888327,6672,6,6.703873162719761e-06,-6.754223922822433e-06
ElasticNet,0.375,0.9925385891698929,0.0,0.0,0.9999932457760772,0.0,0.8077306483244295,0.03458897835211187,0,6,888327,6672,6,6.703873162719761e-06,-6.754223922822433e-06
ElasticNet,0.38,0.9925385891698929,0.0,0.0,0.9999932457760772,0.0,0.8077306483244295,0.03458897835211187,0,6,888327,6672,6,6.703873162719761e-06,-6.754223922822433e-06
ElasticNet,0.385,0.9925385891698929,0.0,0.0,0.9999932457760772,0.0,0.8077306483244295,0.03458897835211187,0,6,888327,6672,6,6.703873162719761e-06,-6.754223922822433e-06
ElasticNet,0.39,0.9925397064820867,0.0,0.0,0.9999943714800643,0.0,0.8077306483244295,0.03458897835211187,0,5,888328,6672,5,5.5865609689331346e-06,-5.628519935685361e-06
ElasticNet,0.395,0.9925397064820867,0.0,0.0,0.9999943714800643,0.0,0.8077306483244295,0.03458897835211187,0,5,888328,6672,5,5.5865609689331346e-06,-5.628519935685361e-06
ElasticNet,0.4,0.9925397064820867,0.0,0.0,0.9999943714800643,0.0,0.8077306483244295,0.03458897835211187,0,5,888328,6672,5,5.5865609689331346e-06,-5.628519935685361e-06
ElasticNet,0.405,0.9925408237942804,0.0,0.0,0.9999954971840515,0.0,0.8077306483244295,0.03458897835211187,0,4,888329,6672,4,4.469248775146508e-06,-4.502815948548289e-06
ElasticNet,0.41,0.9925408237942804,0.0,0.0,0.9999954971840515,0.0,0.8077306483244295,0.03458897835211187,0,4,888329,6672,4,4.469248775146508e-06,-4.502815948548289e-06
ElasticNet,0.415,0.9925419411064743,0.0,0.0,0.9999966228880386,0.0,0.8077306483244295,0.03458897835211187,0,3,888330,6672,3,3.3519365813598807e-06,-3.3771119614112166e-06
ElasticNet,0.42,0.9925419411064743,0.0,0.0,0.9999966228880386,0.0,0.8077306483244295,0.03458897835211187,0,3,888330,6672,3,3.3519365813598807e-06,-3.3771119614112166e-06
ElasticNet,0.425,0.9925419411064743,0.0,0.0,0.9999966228880386,0.0,0.8077306483244295,0.03458897835211187,0,3,888330,6672,3,3.3519365813598807e-06,-3.3771119614112166e-06
ElasticNet,0.43,0.9925419411064743,0.0,0.0,0.9999966228880386,0.0,0.8077306483244295,0.03458897835211187,0,3,888330,6672,3,3.3519365813598807e-06,-3.3771119614112166e-06
ElasticNet,0.435,0.9925419411064743,0.0,0.0,0.9999966228880386,0.0,0.8077306483244295,0.03458897835211187,0,3,888330,6672,3,3.3519365813598807e-06,-3.3771119614112166e-06
ElasticNet,0.44,0.9925419411064743,0.0,0.0,0.9999966228880386,0.0,0.8077306483244295,0.03458897835211187,0,3,888330,6672,3,3.3519365813598807e-06,-3.3771119614112166e-06
ElasticNet,0.445,0.9925419411064743,0.0,0.0,0.9999966228880386,0.0,0.8077306483244295,0.03458897835211187,0,3,888330,6672,3,3.3519365813598807e-06,-3.3771119614112166e-06
ElasticNet,0.45,0.9925419411064743,0.0,0.0,0.9999966228880386,0.0,0.8077306483244295,0.03458897835211187,0,3,888330,6672,3,3.3519365813598807e-06,-3.3771119614112166e-06
ElasticNet,0.455,0.9925430584186681,0.0,0.0,0.9999977485920257,0.0,0.8077306483244295,0.03458897835211187,0,2,888331,6672,2,2.234624387573254e-06,-2.2514079742741444e-06
ElasticNet,0.46,0.9925430584186681,0.0,0.0,0.9999977485920257,0.0,0.8077306483244295,0.03458897835211187,0,2,888331,6672,2,2.234624387573254e-06,-2.2514079742741444e-06
ElasticNet,0.465,0.9925430584186681,0.0,0.0,0.9999977485920257,0.0,0.8077306483244295,0.03458897835211187,0,2,888331,6672,2,2.234624387573254e-06,-2.2514079742741444e-06
