fold,train_rows,test_rows,test_target_rate,best_iteration,recall_at_top_20pct,pr_auc,brier_score,ece_10bin
1,50083,25042,0.007187924287197508,49,0.7055555555555556,0.046618504341197076,0.10440744459629059,0.23472560506896292
2,50083,25042,0.007906716715917259,76,0.7171717171717171,0.04601425592122732,0.08087555319070816,0.18650486506506825
3,50084,25041,0.008386246555648735,12,0.6857142857142857,0.05131155427277269,0.15522976219654083,0.36889783311783275
