model,threshold,accuracy,precision,recall,specificity,f1_score,roc_auc,pr_auc,TP,FP,TN,FN,predicted_positive_count,predicted_positive_ratio,youden_j
CatBoost,0.055,0.9850693571544293,0.128071150639244,0.17266187050359713,0.9911711036289319,0.1470607008361524,0.8439528729654308,0.09477537081883369,1152,7843,880490,5520,8995,0.01005022318311071,0.16383297413252906
CatBoost,0.06,0.9868246546108681,0.14503605102606767,0.1567745803357314,0.9930589092153506,0.15067703831748777,0.8439528729654308,0.09477537081883369,1046,6166,882167,5626,7212,0.008058055541589153,0.149833489551082
CatBoost,0.065,0.9879687822973056,0.1608148393507784,0.14553357314148682,0.9942960578972074,0.15279307631785996,0.8439528729654308,0.09477537081883369,971,5067,883266,5701,6038,0.006746331026083653,0.13982963103869417
CatBoost,0.07,0.9888011798816766,0.17484960217349116,0.1350419664268585,0.9952135066467191,0.1523890063424947,0.8439528729654308,0.09477537081883369,901,4252,884081,5771,5153,0.005757509734582489,0.13025547307357765
CatBoost,0.075,0.9894022938419338,0.1884828349944629,0.12754796163069546,0.9958754205911522,0.15214087780459465,0.8439528729654308,0.09477537081883369,851,3664,884669,5821,4515,0.005044664554946621,0.12342338222184757
CatBoost,0.08,0.9898581572169988,0.20124223602484473,0.12140287769784172,0.996380861681374,0.15144433018603345,0.8439528729654308,0.09477537081883369,810,3215,885118,5862,4025,0.004497181579991173,0.1177837393792156
CatBoost,0.085,0.9901911162507472,0.21192234071643423,0.11615707434052758,0.9967557211090886,0.15006292961564527,0.8439528729654308,0.09477537081883369,775,2882,885451,5897,3657,0.004086010692677695,0.11291279544961608
CatBoost,0.09,0.990474913547969,0.22384500745156483,0.1125599520383693,0.997068666817511,0.14979555200957415,0.8439528729654308,0.09477537081883369,751,2604,885729,5921,3355,0.003748582410154133,0.10962861885588038
CatBoost,0.095,0.9907274261037647,0.23698674426123506,0.1098621103117506,0.9973433385903709,0.15012800819252434,0.8439528729654308,0.09477537081883369,733,2360,885973,5939,3093,0.003455846615382037,0.10720544890212147
CatBoost,0.1,0.9909497712303283,0.2496493688639551,0.10671462829736211,0.9975909934675398,0.14951700965980683,0.8439528729654308,0.09477537081883369,712,2140,886193,5960,2852,0.00318657437667946,0.10430562176490188
CatBoost,0.105,0.9911285411813342,0.2609351432880845,0.10371702637889688,0.9977936201852233,0.14843414843414843,0.8439528729654308,0.09477537081883369,692,1960,886373,5980,2652,0.0029631119379221345,0.10151064656412023
CatBoost,0.11,0.991281612951883,0.27169963665724667,0.10086930455635491,0.9979692300072157,0.14711990381462456,0.8439528729654308,0.09477537081883369,673,1804,886529,5999,2477,0.002767582304009475,0.09883853456357072
CatBoost,0.115,0.9913922268590678,0.27835051546391754,0.09712230215827339,0.99810881730162,0.144,0.8439528729654308,0.09477537081883369,648,1680,886653,6024,2328,0.0026011027871352672,0.09523111945989338
CatBoost,0.12,0.9914860810833459,0.2857142857142857,0.09472422062350119,0.9982213877003331,0.14227825303917155,0.8439528729654308,0.09477537081883369,632,1580,886753,6040,2212,0.002471494572656019,0.09294560832383425
CatBoost,0.125,0.9915810526198178,0.2928468554968795,0.09142685851318945,0.9983418380269561,0.1393489434608795,0.8439528729654308,0.09477537081883369,610,1473,886860,6062,2083,0.002327361299657544,0.08976869654014563
CatBoost,0.13,0.9916648510343518,0.3014112903225806,0.08962829736211031,0.9984397742738365,0.13817005545286506,0.8439528729654308,0.09477537081883369,598,1386,886947,6074,1984,0.002216747392472668,0.08806807163594677
CatBoost,0.135,0.9917397109513355,0.30996309963099633,0.08812949640287769,0.9985264534808456,0.13723888435056597,0.8439528729654308,0.09477537081883369,588,1309,887024,6084,1897,0.002119541231613231,0.08665594988372316
CatBoost,0.14,0.9917866380634746,0.31356397583745194,0.08558153477218225,0.9985928700160863,0.13446367596844458,0.8439528729654308,0.09477537081883369,571,1250,887083,6101,1821,0.0020346255048854477,0.08417440478826865
CatBoost,0.145,0.9918480902341328,0.3204833141542002,0.08348321342925659,0.9986705435911983,0.132461355529132,0.8439528729654308,0.09477537081883369,557,1181,887152,6115,1738,0.0019418885928011575,0.08215375702045491
CatBoost,0.15,0.9918950173462718,0.32533013205282113,0.08123501199040767,0.9987347087184648,0.13000719597025664,0.8439528729654308,0.09477537081883369,542,1124,887209,6130,1666,0.0018614421148485205,0.07996972070887254
CatBoost,0.155,0.9919508829559611,0.33375,0.08003597122302158,0.9987999995497184,0.12911025145067698,0.8439528729654308,0.09477537081883369,534,1066,887267,6138,1600,0.001787699510058603,0.07883597077273996
CatBoost,0.16,0.9920134524388132,0.34342105263157896,0.07823741007194245,0.9988765474208433,0.12744140625,0.8439528729654308,0.09477537081883369,522,998,887335,6150,1520,0.001698314534555673,0.07711395749278571
CatBoost,0.165,0.9920547929899833,0.34955448937628514,0.0764388489208633,0.9989317069162127,0.12544582462181772,0.8439528729654308,0.09477537081883369,510,949,887384,6162,1459,0.0016301584907346886,0.07537055583707608
CatBoost,0.17,0.9920838431070218,0.35385704175513094,0.0749400479616307,0.9989722322597494,0.12368583797155225,0.8439528729654308,0.09477537081883369,500,913,887420,6172,1413,0.0015787621298205038,0.07391228022138008
CatBoost,0.175,0.9921173624728353,0.3588798820928519,0.0729916067146283,0.9990206375311961,0.12131025034250842,0.8439528729654308,0.09477537081883369,487,870,887463,6185,1357,0.0015161926469684527,0.07201224424582442
CatBoost,0.18,0.9921531164630365,0.36551724137931035,0.07149280575539568,0.9990679170986556,0.11959383226776985,0.8439528729654308,0.09477537081883369,477,828,887505,6195,1305,0.001458092412891548,0.07056072285405124
CatBoost,0.185,0.9921955743264004,0.3752988047808765,0.07059352517985612,0.9991174480740893,0.11883436356755393,0.8439528729654308,0.09477537081883369,471,784,887549,6201,1255,0.0014022268032022167,0.06971097325394537
CatBoost,0.19,0.9922145686336948,0.37748344370860926,0.0683453237410072,0.9991534706016775,0.11573604060913706,0.8439528729654308,0.09477537081883369,456,752,887581,6216,1208,0.0013497131300942453,0.06749879434268458
CatBoost,0.195,0.9922313283166015,0.3810330228619814,0.06744604316546762,0.9991771103854072,0.11460588310199922,0.8439528729654308,0.09477537081883369,450,731,887602,6222,1181,0.0013195457008620063,0.06662315355087478
