model,fold,train_rows,validation_rows,train_students,validation_students,student_overlap_count,train_target_count,validation_target_count,train_target_rate,validation_target_rate,recall_at_top_20pct,pr_auc,brier_score,ece_10bin,candidate,class_weight,C,l1_ratio,max_iter,tol,convergence_warning,n_iter,training_seconds,mean_probability,probability_min,probability_max
ElasticNet Logistic Regression,1,596670,298335,17364,8681,0,4441,2231,0.007442975178909615,0.007478170513013894,0.6257283729269386,0.03529726298971797,0.007313744516468171,0.0001977566973876273,unweighted_mild_l1,,0.1,0.1,500,0.01,False,54,159.2524211,0.007315208846749996,4.678412766575274e-09,0.25027333123390694
ElasticNet Logistic Regression,2,596670,298335,17363,8682,0,4443,2229,0.007446327115490975,0.007471466639851174,0.6428891879766712,0.03473767539067984,0.0073096920182003965,0.00012117737204329005,unweighted_mild_l1,,0.1,0.1,500,0.01,False,49,154.65368820000003,0.007477078792611727,6.746715281026104e-07,0.4119484921647533
ElasticNet Logistic Regression,3,596670,298335,17363,8682,0,4460,2212,0.007474818576432534,0.007414483717968056,0.6369801084990958,0.034751716767448024,0.007264612363248307,0.0003239241078109587,unweighted_mild_l1,,0.1,0.1,500,0.01,False,51,162.08820780000133,0.0077384078257790164,1.5748767872866005e-06,0.508395970683548
