model,fold,train_rows,validation_rows,train_students,validation_students,student_overlap_count,train_target_count,validation_target_count,train_target_rate,validation_target_rate,recall_at_top_20pct,pr_auc,brier_score,ece_10bin,precision_at_top_20pct,best_epoch,positive_weight
TCN,1,596670,298335,17364,8681,0,4453,2219,0.007463086798397774,0.007437947274037575,0.49436683190626407,0.02852700503166093,0.20957724189490987,0.40663628384973155,0.018385373055934906,12,132.99281383337078
TCN,2,596670,298335,17363,8682,0,4440,2232,0.007441299210618935,0.007481522449595253,0.49731182795698925,0.0271609125472229,0.19678660626872124,0.4007726920394354,0.0186032485216856,6,133.38513513513513
TCN,3,596670,298335,17363,8682,0,4451,2221,0.007459734861816414,0.007444651147200295,0.4975236380009005,0.027515473633405244,0.21635641982294865,0.42665180209697273,0.01851944997906685,12,133.05302179285553
