,CatBoost 124,CatBoost 108,GRU 4-week,TCN 4-week
CatBoost 124,1.0,0.985215459240587,0.55417777680855,0.5557405332597257
CatBoost 108,0.985215459240587,1.0,0.5501411822902145,0.5496930086718614
GRU 4-week,0.55417777680855,0.5501411822902145,1.0,0.9529198306876048
TCN 4-week,0.5557405332597257,0.5496930086718614,0.9529198306876048,1.0
