model,fold,train_rows,validation_rows,train_students,validation_students,student_overlap_count,train_target_count,validation_target_count,train_target_rate,validation_target_rate,recall_at_top_20pct,pr_auc,brier_score,ece_10bin,training_seconds,train_prior_probability
Dummy Classifier (strategy=prior),1,596670,298335,17364,8681,0,4441,2231,0.007442975178909615,0.007478170513013894,0.14701927386822053,0.007478170513013894,0.0074222487175037285,3.519533410427291e-05,0.5565294999996695,0.007442975178909615
Dummy Classifier (strategy=prior),2,596670,298335,17363,8682,0,4443,2229,0.007446327115490975,0.007471466639851174,0.13907581875280395,0.007471466639851174,0.007415644458096449,2.5139524360194565e-05,0.5573100999990857,0.007446327115490975
Dummy Classifier (strategy=prior),3,596670,298335,17363,8682,0,4460,2212,0.007474818576432534,0.007414483717968056,0.14511754068716093,0.007414483717968056,0.007359512789459186,6.033485846447615e-05,0.6098063999997976,0.007474818576432534
