model,search_mode,unique_probability_candidates,threshold,accuracy,precision,recall,specificity,f1_score,roc_auc,pr_auc,TP,FP,TN,FN,predicted_positive_count,predicted_positive_ratio,youden_j
CatBoost,all_unique_oof_probabilities,887919,0.0665373634061381,0.9882760431505969,0.1662882096069869,0.14268585131894485,0.994627014869424,0.15358554488989273,0.8439528729654308,0.09477537081883369,952.0,4773.0,883560.0,5720.0,5725.0,0.006396612309428439,0.1373128661883687
XGBoost weighted,all_unique_oof_probabilities,833802,0.8727346062660217,0.9893732437248954,0.17494847721547974,0.1145083932853717,0.9959440885343672,0.13841833499411177,0.8438828681643706,0.0751959398409417,764.0,3603.0,884730.0,5908.0,4367.0,0.0048793023502662,0.11045248181973899
ElasticNet,all_unique_oof_probabilities,894989,0.0396775552118996,0.9750884073273334,0.06166535742340927,0.16471822541966427,0.9811748522232091,0.08973626194170001,0.8077306483244295,0.03458897835211187,1099.0,16723.0,871610.0,5573.0,17822.0,0.019912737917665263,0.1458930776428733
