rank,feature,mean_abs_shap,prediction_values_change,importance_share,cumulative_importance_share
1,assessment_missing_due_rate,0.21152158074169938,4.56998840631659,0.05982500003973052,0.05982500003973052
2,weighted_score_sum,0.15231792194821045,4.480694485621078,0.043080330879954214,0.10290533091968473
3,studied_credits,0.13317117419223667,3.3430700702378195,0.03766502440746421,0.14057035532714895
4,scored_weight_sum,0.11430431780887464,4.226495772302408,0.03232888007681762,0.17289923540396657
5,code_module,0.10270301903197221,3.960306969901805,0.029047665472825734,0.2019469008767923
6,current_active_days,0.09174346229169474,1.6838075014441167,0.025947955835050353,0.22789485671184265
7,observed_weeks,0.08645943228963887,4.739559945785846,0.02445346485226521,0.25234832156410786
8,previous_active_days,0.07958838656714975,1.3325579200987798,0.02251011557707768,0.2748584371411855
9,assessment_min_score,0.07840178637053784,1.6989479334061401,0.022174507472408022,0.29703294461359353
10,prediction_week,0.07414090734074796,5.755375836987212,0.020969395978665227,0.31800234059225874
11,assessment_submission_rate,0.07291178990642007,2.1180552365783387,0.020621762653026964,0.3386241032452857
12,previous_total_clicks,0.07171783271569038,1.0272274841877154,0.020284073757490268,0.35890817700277594
13,cum_quiz_share,0.06718084210933266,0.10608578940307734,0.019000869167897776,0.3779090461706737
14,cutoff_day,0.06519912722146186,4.3906166985658315,0.018440377454334134,0.39634942362500786
15,log1p_current_total_clicks,0.0629704002870984,1.3569914752540877,0.017810022913349197,0.41415944653835707
16,assessment_median_score,0.06283232646863782,1.0849626626699245,0.017770971265919533,0.4319304178042766
17,weeks_since_last_activity,0.0622248654967343,2.038813873664074,0.017599162070182472,0.4495295798744591
18,assessment_max_score,0.05999469245706542,1.186481726353212,0.01696839852483188,0.46649797839929097
19,current_total_clicks,0.058367634097892813,1.069887815736123,0.016508214906400004,0.48300619330569095
20,inactive_weeks,0.054856367898340135,1.6255561569546662,0.015515117654615275,0.4985213109603062
21,code_presentation,0.05442378100754897,3.146263789885266,0.015392768385722608,0.5139140793460288
22,cum_quiz_clicks,0.04624875574276764,0.4808311184040922,0.013080612410547799,0.5269946917565766
23,highest_education,0.043058244342008854,0.596103692674375,0.01217823477131183,0.5391729265278885
24,assessment_late_rate,0.04231802075452674,1.018320537840303,0.011968876104478658,0.5511418026323671
25,assessment_mean_score,0.04207936314454024,0.7339118712099274,0.011901376176211956,0.5630431788085791
26,assessment_weighted_mean_score,0.04190426105556429,2.0058377416563204,0.01185185176152476,0.5748950305701039
27,current_unique_sites,0.04164358723580671,1.1955160668832094,0.011778124952077371,0.5866731555221814
28,any_known_mean_score,0.038011765328224395,0.8532138504492142,0.010750930729135499,0.5974240862513168
29,current_interaction_rows,0.0378668557736492,0.7842181829009488,0.010709945719105695,0.6081340319704225
30,any_known_median_score,0.037860845692411216,0.8922788290016862,0.01070824587784581,0.6188422778482683
31,assessment_mean_submission_gap,0.03747219513260381,1.3182265288144295,0.01059832319442793,0.6294406010426962
32,assessment_missing_due_count,0.03681233651760575,0.9636127662126895,0.010411694286256703,0.6398522953289528
33,registration_lead_days,0.034058276975953435,0.6117746976122492,0.00963275905132212,0.6494850543802749
34,assessment_due_tma_count,0.03384981861228399,0.5936303393597973,0.009573800426055245,0.6590588548063302
35,assessment_submitted_tma_count,0.03375770253811453,1.3378188669199185,0.009547747083783862,0.668606601890114
36,assessment_due_weight,0.03294636435051582,0.49463246481173206,0.009318274956471232,0.6779248768465852
37,disability,0.03281886912086426,0.3981828912084115,0.009282215268886519,0.6872070921154717
38,cum_oucontent_share,0.03176826554818829,1.040820535722206,0.008985071315268694,0.6961921634307404
39,vle_week_clicks_ouwiki,0.03176662914801041,0.7081065803932891,0.008984608489488158,0.7051767719202285
40,date_registration,0.03143588452186375,0.6931213047820751,0.008891063437475111,0.7140678353577037
41,assessment_median_submission_gap,0.030365668120974652,0.628584740877999,0.00858837235507489,0.7226562077127786
42,vle_week_clicks_url,0.02992335494604898,0.21064974086096863,0.008463272185084126,0.7311194798978627
43,current_has_vle_record,0.029850836271884878,0.5818492576496389,0.008442761608009504,0.7395622415058722
44,assessment_scored_due_count,0.02954709491071591,0.6170053403231754,0.008356853934285226,0.7479190954401574
45,vle_week_clicks_subpage,0.029174126900958736,0.49767038756355414,0.008251366772548343,0.7561704622127058
46,current_last_active_day,0.029078008818072276,0.7575160631802725,0.008224181535503791,0.7643946437482095
47,current_activity_type_count,0.028696447199437754,0.8222994310533344,0.00811626382909328,0.7725109075773028
48,active_week_rate,0.028200336724003194,0.968606036941846,0.007975948079236876,0.7804868556565396
49,num_of_prev_attempts,0.027627620623609427,0.5667515229996947,0.007813965833223637,0.7883008214897633
50,last_active_week,0.026884361545584694,1.102636200023041,0.007603748633558043,0.7959045701233214
51,any_known_submission_count,0.024414572220886124,0.5612099648593447,0.006905214016285823,0.8028097841396072
52,cum_unique_site_week_count,0.023476803572177487,0.5972178566840408,0.0066399833516437995,0.8094497674912511
53,vle_cum_total_clicks,0.02320473837147933,0.6039489751259126,0.006563034699002761,0.8160128021902538
54,pre_course_clicks,0.0231847954138847,0.7069170820956656,0.006557394199179019,0.8225701963894329
55,imd_band,0.02292450419981133,0.5280533390633594,0.006483775602732841,0.8290539719921657
56,previous_unique_sites,0.022484659249162604,0.3512358928534948,0.006359373524714294,0.83541334551688
