model,threshold,accuracy,precision,recall,specificity,f1_score,roc_auc,pr_auc,TP,FP,TN,FN,predicted_positive_count,predicted_positive_ratio,youden_j
XGBoost weighted,0.055,0.17767275043156183,0.008911196432828002,0.9917565947242206,0.17155841334274421,0.01766368000896932,0.8438828681643706,0.0751959398409417,6617,735932,152401,55,742549,0.829659052184066,0.16331500806696475
XGBoost weighted,0.06,0.19278551516471976,0.009072490764961584,0.9913069544364509,0.18678806258463887,0.017980423793206093,0.8438828681643706,0.0751959398409417,6614,722403,165930,58,729017,0.8145395835777454,0.17809501702108976
XGBoost weighted,0.065,0.20849268998497214,0.009241270307506173,0.990257793764988,0.20262108916363572,0.018311652857402196,0.8438828681643706,0.0751959398409417,6607,708338,179995,65,714945,0.79881676638678,0.19287888292862365
XGBoost weighted,0.07,0.22413952994676006,0.009411902339921332,0.9887589928057554,0.21839670483928886,0.018646312216203383,0.8438828681643706,0.0751959398409417,6597,694324,194009,75,700921,0.7831475801811163,0.20715569764504416
XGBoost weighted,0.075,0.23876179462684566,0.009573864875474332,0.9869604316546763,0.2331423013667172,0.018963774439078335,0.8438828681643706,0.0751959398409417,6585,681225,207108,87,687810,0.7684985000083798,0.2201027330213936
XGBoost weighted,0.08,0.2527974704051933,0.009743260134234549,0.9860611510791367,0.24729014907697902,0.019295858092293977,0.8438828681643706,0.0751959398409417,6579,668657,219676,93,675236,0.7544494164837068,0.23335130015611583
XGBoost weighted,0.085,0.2664465561644907,0.009906515555099714,0.9844124700239808,0.26105413172762915,0.0196156315797333,0.8438828681643706,0.0751959398409417,6568,656430,231903,104,662998,0.740775749856146,0.24546660175160984
XGBoost weighted,0.09,0.279640895860917,0.010072623013002728,0.9830635491606715,0.27435770144754273,0.019940928154590077,0.8438828681643706,0.0751959398409417,6559,644612,243721,113,651171,0.7275612985402317,0.2574212506082143
XGBoost weighted,0.095,0.292270992899481,0.01023832110913322,0.9818645083932853,0.2870916649499681,0.020265326987593636,0.8438828681643706,0.0751959398409417,6551,633300,255033,121,639851,0.714913324506567,0.2689561733432533
XGBoost weighted,0.1,0.3040865693487746,0.010385478447152456,0.9794664268585132,0.299013995877672,0.02055302901641097,0.8438828681643706,0.0751959398409417,6535,622709,265624,137,629244,0.7030619940670723,0.27848042273618523
XGBoost weighted,0.105,0.3155122038424366,0.010545973854773152,0.9784172661870504,0.310533324777983,0.020867030220113922,0.8438828681643706,0.0751959398409417,6528,612476,275857,144,619004,0.6916207172026972,0.2889505909650334
XGBoost weighted,0.11,0.3262730375807956,0.010694985320447492,0.9767685851318945,0.32138736262189965,0.02115830090759598,0.8438828681643706,0.0751959398409417,6517,602834,285499,155,609351,0.6808353025960748,0.29815594775379406
XGBoost weighted,0.115,0.3368807995486059,0.010846316070252653,0.9751199040767387,0.33208717901957935,0.02145399805773058,0.8438828681643706,0.0751959398409417,6506,593329,295004,166,599835,0.6702029597600013,0.30720708309631806
XGBoost weighted,0.12,0.34698577102921213,0.010979245062640605,0.9721223021582733,0.3422905599589343,0.021713258445021366,0.8438828681643706,0.0751959398409417,6486,584265,304068,186,590751,0.6600532957916436,0.31441286211720776
XGBoost weighted,0.125,0.3566873928078614,0.01112455029327579,0.9704736211031175,0.35207743042305084,0.021996949303401632,0.8438828681643706,0.0751959398409417,6475,575571,312762,197,582046,0.650327093144731,0.3225510515261685
XGBoost weighted,0.13,0.3660750498600566,0.011272152935885054,0.9691247002398081,0.36154572665880924,0.02228510179252729,0.8438828681643706,0.0751959398409417,6466,567160,321173,206,573626,0.6409193244730477,0.33067042689861736
XGBoost weighted,0.135,0.37540125474159364,0.011402296735705553,0.9659772182254197,0.3709656176231211,0.022538550713487635,0.8438828681643706,0.0751959398409417,6445,558792,329541,227,565237,0.6315461924793716,0.3369428358485407
XGBoost weighted,0.14,0.3843498081016307,0.011550402900163313,0.9646282973621103,0.37999151219193705,0.022827470995704775,0.8438828681643706,0.0751959398409417,6436,550774,337559,236,557210,0.6225775274998464,0.34461980955404736
XGBoost weighted,0.145,0.3931240607594371,0.01168884835444098,0.9623800959232613,0.38884855116268335,0.02309716384381986,0.8438828681643706,0.0751959398409417,6421,542906,345427,251,549327,0.6137697554762264,0.3512286470859447
XGBoost weighted,0.15,0.4015798794420143,0.011825100742253045,0.9601318944844125,0.39738476449709736,0.023362466516290085,0.8438828681643706,0.0751959398409417,6406,535323,353010,266,541729,0.6052804174278356,0.35751665898150975
XGBoost weighted,0.155,0.40982452611996584,0.011964650661396455,0.95818345323741,0.40570596836996936,0.023634185835015413,0.8438828681643706,0.0751959398409417,6393,527931,360402,279,534324,0.5970067206328457,0.36388942160737936
XGBoost weighted,0.16,0.41795967620292623,0.012102168257709012,0.9559352517985612,0.4139191046600768,0.023901739790325754,0.8438828681643706,0.0751959398409417,6378,520635,367698,294,527013,0.5888380511840716,0.36985435645863807
XGBoost weighted,0.165,0.42612052446634374,0.012244096836701118,0.9536870503597122,0.42215813214188824,0.024177782506350325,0.8438828681643706,0.0751959398409417,6363,513316,375017,309,519679,0.5806436835548405,0.3758451825016005
