candidate,class_weight,C,l1_ratio,max_iter,tol,recall_at_top_20pct,pr_auc,brier_score,ece_10bin,mean_oof_probability,probability_min,probability_max,convergence_warning_folds,max_observed_n_iter,training_seconds
unweighted_mild_l1,,0.1,0.1,500,0.01,0.6357913669064749,0.03458897835211187,0.007296016299305629,8.023099389568211e-05,0.00751023182171358,4.678412766575274e-09,0.508395970683548,0,54,475.99431710000135
balanced_mixed_l1_l2,balanced,0.05,0.5,200,0.05,0.6726618705035972,0.03445786949693716,0.17824345843985248,0.34016932842725356,0.3476240353841981,2.521825384212195e-08,0.9999224288723486,0,13,192.9457481999998
