fold,train_rows,test_rows,test_target_rate,best_iteration,recall_at_top_20pct,pr_auc,brier_score,ece_10bin
1,596670,298335,0.007437947274037575,114,0.6962595763857593,0.08630326318066726,0.1521712988615036,0.3044674188289102
2,596670,298335,0.007481522449595253,161,0.7114695340501792,0.08158055332168325,0.14603987336158752,0.2928921139354196
3,596670,298335,0.007444651147200295,113,0.6888788833858622,0.08020145709803488,0.1477637141942978,0.3003078196095418
