fold,feature_count,best_iteration,recall_at_top_20pct,pr_auc,brier_score,ece_10bin
1,108,244,0.7016674177557458,0.09801858826599809,0.007030649436908826,0.0004383128329081014
2,108,450,0.7240143369175627,0.09688732671869967,0.007061904620124289,0.00022720178076613578
3,108,497,0.7131922557406574,0.09020911450502335,0.007058281940798936,0.00013142700748576216
