model,rows,target_count,target_rate,pr_auc,recall_at_top_20pct,precision_at_top_20pct,brier_score,ece_10bin
CatBoost 124,895005,6672,0.007454706956944375,0.0947753708188337,0.7113309352517986,0.026513818358556655,0.00704488237520306,0.0002422962405850262
CatBoost 108,895005,6672,0.007454706956944375,0.09350213706742246,0.7123800959232613,0.02655292428533919,0.007050278665944018,0.00021265739802095397
GRU 4-week,895005,6672,0.007454706956944375,0.02714481537554029,0.49535371702637887,0.01846358400232401,0.21072389565601854,0.4214687996761128
TCN 4-week,895005,6672,0.007454706956944375,0.02791668812018662,0.4934052757793765,0.01839095870972788,0.20757342266219325,0.4113535926620465
